date_dt,time,temperature,skycover,humidity,precipitation,solar_radiation,latitude,longitude,date_txt
1/1/11,0:00,42,0,57,0,0,40.78,-73.97,1/1/11
1/1/11,1:00,42,0,59,0,0,40.78,-73.97,1/1/11
1/1/11,2:00,43,0,57,0,0,40.78,-73.97,1/1/11
1/1/11,3:00,42,0,59,0,0,40.78,-73.97,1/1/11
1/1/11,4:00,41,0,65,0,0,40.78,-73.97,1/1/11
1/1/11,5:00,41,0,62,0,0,40.78,-73.97,1/1/11
1/1/11,6:00,41,0,65,0,0,40.78,-73.97,1/1/11
1/1/11,7:00,41,0,65,0,0,40.78,-73.97,1/1/11
1/1/11,8:00,41,0,65,0,3.6,40.78,-73.97,1/1/11
1/1/11,9:00,43,0,62,0,73.5,40.78,-73.97,1/1/11
1/1/11,10:00,47,0,53,0,190,40.78,-73.97,1/1/11
1/1/11,11:00,49,0,50,0,283.2,40.78,-73.97,1/1/11
1/1/11,12:00,51,0,50,0,330.7,40.78,-73.97,1/1/11
1/1/11,13:00,50,0,58,0,324.9,40.78,-73.97,1/1/11
1/1/11,14:00,52,0,59,0,266.7,40.78,-73.97,1/1/11
1/1/11,15:00,52,0,61,0,165.8,40.78,-73.97,1/1/11
1/1/11,16:00,49,0,63,0,50.9,40.78,-73.97,1/1/11
1/1/11,17:00,47,0.8,65,0,0.5,40.78,-73.97,1/1/11
1/1/11,18:00,46,1,71,0,0,40.78,-73.97,1/1/11
1/1/11,19:00,46,1,76,0,0,40.78,-73.97,1/1/11
1/1/11,20:00,46,1,79,0,0,40.78,-73.97,1/1/11
1/1/11,21:00,47,1,80,0,0,40.78,-73.97,1/1/11
1/1/11,22:00,51,1,83,0,0,40.78,-73.97,1/1/11
1/1/11,23:00,51,1,79,0,0,40.78,-73.97,1/1/11
1/2/11,0:00,47,1,80,0,0,40.78,-73.97,1/2/11
1/2/11,1:00,47,1,83,0,0,40.78,-73.97,1/2/11
1/2/11,2:00,46,1,89,0,0,40.78,-73.97,1/2/11
1/2/11,3:00,46,1,89,0,0,40.78,-73.97,1/2/11
1/2/11,4:00,45,1,97,0,0,40.78,-73.97,1/2/11
1/2/11,5:00,49,1,93,0,0,40.78,-73.97,1/2/11
1/2/11,6:00,49,1,97,0.01,0,40.78,-73.97,1/2/11
1/2/11,7:00,49,1,93,     Tr,0,40.78,-73.97,1/2/11
1/2/11,8:00,48,1,96,0,1.4,40.78,-73.97,1/2/11
1/2/11,9:00,49,1,93,     Tr,34.7,40.78,-73.97,1/2/11
1/2/11,10:00,49,1,90,0,126.3,40.78,-73.97,1/2/11
1/2/11,11:00,50,1,80,0,188.7,40.78,-73.97,1/2/11
1/2/11,12:00,50,1,80,0,220.7,40.78,-73.97,1/2/11
1/2/11,13:00,51,1,68,     Tr,146.9,40.78,-73.97,1/2/11
1/2/11,14:00,51,1,63,0,123.6,40.78,-73.97,1/2/11
1/2/11,15:00,50,1,63,0,111.6,40.78,-73.97,1/2/11
1/2/11,16:00,49,1,54,0,34.8,40.78,-73.97,1/2/11
1/2/11,17:00,47,1,60,0,0.4,40.78,-73.97,1/2/11
1/2/11,18:00,47,1,63,0,0,40.78,-73.97,1/2/11
1/2/11,19:00,46,1,55,0,0,40.78,-73.97,1/2/11
1/2/11,20:00,46,1,45,0,0,40.78,-73.97,1/2/11
1/2/11,21:00,45,1,47,0,0,40.78,-73.97,1/2/11
1/2/11,22:00,40,1,70,0,0,40.78,-73.97,1/2/11
1/2/11,23:00,38,0,54,0,0,40.78,-73.97,1/2/11
1/3/11,0:00,36,0,52,0,0,40.78,-73.97,1/3/11
1/3/11,1:00,34,0,51,0,0,40.78,-73.97,1/3/11
1/3/11,2:00,32,0,49,0,0,40.78,-73.97,1/3/11
1/3/11,3:00,31,0,45,0,0,40.78,-73.97,1/3/11
1/3/11,4:00,30,0,48,0,0,40.78,-73.97,1/3/11
1/3/11,5:00,29,0,53,0,0,40.78,-73.97,1/3/11
1/3/11,6:00,29,0,46,0,0,40.78,-73.97,1/3/11
1/3/11,7:00,28,0,46,0,0,40.78,-73.97,1/3/11
1/3/11,8:00,28,0,46,0,3.7,40.78,-73.97,1/3/11
1/3/11,9:00,29,0,44,0,76.3,40.78,-73.97,1/3/11
1/3/11,10:00,30,0,41,0,196.6,40.78,-73.97,1/3/11
1/3/11,11:00,31,0,41,0,292.9,40.78,-73.97,1/3/11
1/3/11,12:00,33,0,36,0,342.4,40.78,-73.97,1/3/11
1/3/11,13:00,34,0,38,0,337.3,40.78,-73.97,1/3/11
1/3/11,14:00,35,0,36,0,278.4,40.78,-73.97,1/3/11
1/3/11,15:00,35,0,36,0,175.3,40.78,-73.97,1/3/11
1/3/11,16:00,35,0,38,0,56.1,40.78,-73.97,1/3/11
1/3/11,17:00,34,0,41,0,1,40.78,-73.97,1/3/11
1/3/11,18:00,33,0,43,0,0,40.78,-73.97,1/3/11
1/3/11,19:00,33,0,43,0,0,40.78,-73.97,1/3/11
1/3/11,20:00,32,0,45,0,0,40.78,-73.97,1/3/11
1/3/11,21:00,32,0,43,0,0,40.78,-73.97,1/3/11
1/3/11,22:00,31,0,47,0,0,40.78,-73.97,1/3/11
1/3/11,23:00,31,0,45,0,0,40.78,-73.97,1/3/11
1/4/11,0:00,32,0,45,0,0,40.78,-73.97,1/4/11
1/4/11,1:00,31,0,49,0,0,40.78,-73.97,1/4/11
1/4/11,2:00,32,0,45,0,0,40.78,-73.97,1/4/11
1/4/11,3:00,32,0,45,0,0,40.78,-73.97,1/4/11
1/4/11,4:00,31,0,45,0,0,40.78,-73.97,1/4/11
1/4/11,5:00,31,0,45,0,0,40.78,-73.97,1/4/11
1/4/11,6:00,31,0,45,0,0,40.78,-73.97,1/4/11
1/4/11,7:00,31,0,47,0,0,40.78,-73.97,1/4/11
1/4/11,8:00,31,0,51,0,3.7,40.78,-73.97,1/4/11
1/4/11,9:00,32,0,49,0,76.2,40.78,-73.97,1/4/11
1/4/11,10:00,34,0,47,0,196.6,40.78,-73.97,1/4/11
1/4/11,11:00,35,0,47,0,293.2,40.78,-73.97,1/4/11
1/4/11,12:00,35,0.5,49,0,420.9,40.78,-73.97,1/4/11
1/4/11,13:00,38,0.2,42,0,480,40.78,-73.97,1/4/11
1/4/11,14:00,40,0,39,0,280.1,40.78,-73.97,1/4/11
1/4/11,15:00,39,0,42,0,177.3,40.78,-73.97,1/4/11
1/4/11,16:00,39,0,44,0,57.7,40.78,-73.97,1/4/11
1/4/11,17:00,38,0,44,0,1.2,40.78,-73.97,1/4/11
1/4/11,18:00,38,0,46,0,0,40.78,-73.97,1/4/11
1/4/11,19:00,38,0,44,0,0,40.78,-73.97,1/4/11
1/4/11,20:00,38,0,46,0,0,40.78,-73.97,1/4/11
1/4/11,21:00,37,0,48,0,0,40.78,-73.97,1/4/11
1/4/11,22:00,37,1,50,0,0,40.78,-73.97,1/4/11
1/4/11,23:00,36,1,50,0,0,40.78,-73.97,1/4/11
1/5/11,0:00,36,0.2,50,0,0,40.78,-73.97,1/5/11
1/5/11,1:00,35,0,54,0,0,40.78,-73.97,1/5/11
1/5/11,2:00,35,0.5,56,0,0,40.78,-73.97,1/5/11
1/5/11,3:00,35,0.8,58,0,0,40.78,-73.97,1/5/11
1/5/11,4:00,34,0,61,0,0,40.78,-73.97,1/5/11
1/5/11,5:00,34,0,59,0,0,40.78,-73.97,1/5/11
1/5/11,6:00,34,0,59,0,0,40.78,-73.97,1/5/11
1/5/11,7:00,34,0,56,0,0,40.78,-73.97,1/5/11
1/5/11,8:00,33,0,61,0,3.7,40.78,-73.97,1/5/11
1/5/11,9:00,33,0,58,0,76.5,40.78,-73.97,1/5/11
1/5/11,10:00,35,0,54,0,197.4,40.78,-73.97,1/5/11
1/5/11,11:00,36,0,50,0,294.5,40.78,-73.97,1/5/11
1/5/11,12:00,37,0,44,0,344.8,40.78,-73.97,1/5/11
1/5/11,13:00,38,0.5,40,0,417.9,40.78,-73.97,1/5/11
1/5/11,14:00,37,0,35,0,282.4,40.78,-73.97,1/5/11
1/5/11,15:00,37,0,37,0,179.7,40.78,-73.97,1/5/11
1/5/11,16:00,37,0,37,0,59.5,40.78,-73.97,1/5/11
1/5/11,17:00,36,0.2,38,0,1.9,40.78,-73.97,1/5/11
1/5/11,18:00,35,0,38,0,0,40.78,-73.97,1/5/11
1/5/11,19:00,34,0,41,0,0,40.78,-73.97,1/5/11
1/5/11,20:00,33,0,43,0,0,40.78,-73.97,1/5/11
1/5/11,21:00,32,0,41,0,0,40.78,-73.97,1/5/11
1/5/11,22:00,31,0,47,0,0,40.78,-73.97,1/5/11
,,,,,,,,,
1/5/11,,31,0,49,0,0,40.78,-73.97,
1/6/11,,30,0,55,0,0,40.78,-73.97,
1/6/11,,29,0,56,0,0,40.78,-73.97,
1/6/11,,29,0,56,0,0,40.78,-73.97,
1/6/11,,28,0,58,0,0,40.78,-73.97,
1/6/11,,28,0,58,0,0,40.78,-73.97,
1/6/11,,28,0,58,0,0,40.78,-73.97,
1/6/11,,27,0.8,60,0,0,40.78,-73.97,
1/6/11,,27,1,60,0,0,40.78,-73.97,
1/6/11,,27,1,63,0,1.9,40.78,-73.97,
1/6/11,,28,1,60,0,36.9,40.78,-73.97,
1/6/11,,30,1,55,0,96.1,40.78,-73.97,
1/6/11,,31,1,51,0,102.6,40.78,-73.97,
1/6/11,,31,1,53,0,123.6,40.78,-73.97,
1/6/11,,31,1,53,0,117.7,40.78,-73.97,
1/6/11,,32,1,51,0,101.6,40.78,-73.97,
1/6/11,,33,1,47,0,65,40.78,-73.97,
1/6/11,,32,1,49,0,30.9,40.78,-73.97,
1/6/11,,32,1,47,0,0.8,40.78,-73.97,
1/6/11,,31,0.2,51,0,0,40.78,-73.97,
1/6/11,,31,0,49,0,0,40.78,-73.97,
1/6/11,,30,0.8,47,0,0,40.78,-73.97,
1/6/11,,30,0.2,48,0,0,40.78,-73.97,
1/6/11,,30,1,48,0,0,40.78,-73.97,
1/6/11,,31,1,47,0,0,40.78,-73.97,
1/7/11,,   -, -,  -,0,0,40.78,-73.97,
1/7/11,,31,1,53,0,0,40.78,-73.97,
1/7/11,,31,1,53,0,0,40.78,-73.97,
1/7/11,,32,1,49,0,0,40.78,-73.97,
1/7/11,,32,1,54,0,0,40.78,-73.97,
1/7/11,,32,1,61,0,0,40.78,-73.97,
1/7/11,,32,1,66,     Tr,0,40.78,-73.97,
1/7/11,,31,1,75,     Tr,0,40.78,-73.97,
1/7/11,,31,1,82,0.01,0.5,40.78,-73.97,
1/7/11,,31,1,89,0.01,10.5,40.78,-73.97,
1/7/11,,32,1,88,0.02,14.9,40.78,-73.97,
1/7/11,,33,1,92,0.03,40.2,40.78,-73.97,
1/7/11,,33,1,92,0.08,38.3,40.78,-73.97,
1/7/11,,33,1,92,0.01,46.7,40.78,-73.97,
1/7/11,,33,1,88,0.01,39,40.78,-73.97,
1/7/11,,32,1,88,0.02,50.9,40.78,-73.97,
1/7/11,,32,1,85,0,21.6,40.78,-73.97,
1/7/11,,31,0.8,82,0,1.2,40.78,-73.97,
1/7/11,,30,0,75,0,0,40.78,-73.97,
1/7/11,,30,0.2,71,0,0,40.78,-73.97,
1/7/11,,29,0,75,0,0,40.78,-73.97,
1/7/11,,28,0,75,0,0,40.78,-73.97,
1/7/11,,28,0,69,0,0,40.78,-73.97,
1/7/11,,26,0,68,0,0,40.78,-73.97,
1/8/11,,25,0,74,0,0,40.78,-73.97,
1/8/11,,25,0,71,0,0,40.78,-73.97,
1/8/11,,24,0,74,0,0,40.78,-73.97,
1/8/11,,24,0,74,0,0,40.78,-73.97,
1/8/11,,24,0,74,0,0,40.78,-73.97,
1/8/11,,24,0,74,0,0,40.78,-73.97,
1/8/11,,25,1,74,0,0,40.78,-73.97,
1/8/11,,25,1,74,0,0,40.78,-73.97,
1/8/11,,25,1,74,0,1.5,40.78,-73.97,
1/8/11,,26,0.2,74,0,110.5,40.78,-73.97,
1/8/11,,28,0,75,0,192.1,40.78,-73.97,
1/8/11,,29,0.2,72,0,423.3,40.78,-73.97,
1/8/11,,30,0.8,69,0,208.3,40.78,-73.97,
1/8/11,,29,1,72,0,231.5,40.78,-73.97,
